Date,^NSEI,^BSESN,BSE-100.BO
2013-03-15,5872.60009765625,19427.560546875,5887.08984375
2013-03-18,5835.25,19293.19921875,5845.47021484375
2013-03-19,5745.9501953125,19008.099609375,5751.2001953125
2013-03-20,5694.39990234375,18884.189453125,5692.990234375
2013-03-21,5658.75,18792.869140625,5651.85986328125
2013-03-22,5651.35009765625,18735.599609375,5641.77978515625
2013-03-25,5633.85009765625,18681.419921875,5624.14990234375
2013-03-26,5641.60009765625,18704.529296875,5627.47998046875
2013-03-28,5682.5498046875,18835.76953125,5678.7001953125
2013-04-01,5704.39990234375,18864.75,5700.580078125
2013-04-02,5748.10009765625,19040.94921875,5756.669921875
2013-04-03,5672.89990234375,18801.640625,5684.31982421875
2013-04-04,5574.75,18509.69921875,5587.41015625
2013-04-05,5553.25,18450.23046875,5569.580078125
2013-04-08,5542.9501953125,18437.779296875,5565.10986328125
2013-04-09,5495.10009765625,18226.48046875,5508.52001953125
2013-04-10,5558.7001953125,18414.44921875,5570.52001953125
2013-04-11,5594.0,18542.19921875,5603.10986328125
2013-04-12,5528.5498046875,18242.560546875,5553.81982421875
2013-04-15,5568.39990234375,18357.80078125,5586.58984375
2013-04-16,5688.9501953125,18744.9296875,5700.080078125
2013-04-17,5688.7001953125,18731.16015625,5703.27001953125
2013-04-18,5783.10009765625,19016.4609375,5788.9599609375
2013-04-22,5834.39990234375,19169.830078125,5844.669921875
2013-04-23,5836.89990234375,19179.359375,5843.4501953125
2013-04-25,5916.2998046875,19406.849609375,5912.35009765625
2013-04-26,5871.4501953125,19286.720703125,5868.7900390625
2013-04-29,5904.10009765625,19387.5,5908.169921875
2013-04-30,5930.2001953125,19504.1796875,5941.35009765625
2013-05-02,5999.35009765625,19735.76953125,6012.06982421875
2013-05-03,5944.0,19575.640625,5966.27001953125
2013-05-06,5971.0498046875,19673.640625,5994.06982421875
2013-05-07,6043.5498046875,19888.94921875,6059.83984375
2013-05-08,6069.2998046875,19990.1796875,6080.25
2013-05-09,6050.14990234375,19939.0390625,6062.2001953125
2013-05-10,6094.75,20082.619140625,6103.22021484375
2013-05-13,5980.4501953125,19691.669921875,5993.89990234375
2013-05-14,5995.39990234375,19722.2890625,6009.43017578125
2013-05-15,6146.75,20212.9609375,6155.52001953125
2013-05-16,6169.89990234375,20247.330078125,6179.9599609375
